"","Team","season","Date","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","HSCF%","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","PenD","TOI"
"1","CHI",20152016,"2016-02-02",2,1,1,74.9,141.1,70.2,4.4,93.4,42.2,97.8,65.4,77.3,14.2,20,5.9,25,7.3,32.3,72.4,21.6,34.9,13.3,43.6,16.6,60.3,74.9,56.4,84.7,28.3,105.7,35.3,141.1,77.4,45.6,80.4,23.5,64.5,18.9,104,19.2,3.8,20.3,9.5,75,30.1,56.4,18.8,45.2,15.1,2.5,1.2,66.7,4.4,3.1,93.4,53.4,70.2,42.2,19,26,17,19,9,11,19,2,3,1,48.1
"2","WSH",20152016,"2016-04-01",2,1,1,73,122.9,72.3,4.9,92.6,38.1,97.5,60.7,65.7,9.6,20,10.5,25,13.1,38.1,74,27.8,42.9,15.1,53.6,18.9,72.5,73,45.2,71.8,26.6,89.7,33.2,122.9,72.2,34.8,70.7,27.2,56.6,21.8,98,15.7,8.3,15.2,4.8,75.2,27.4,51.2,16.9,40.9,13.5,2.5,1.2,66.7,4.9,3.5,92.6,57,72.3,38.1,16,26,17,14,11,20,9,3,2,-1,48
"3","L.A",20152016,"2015-10-18",2,0,2,74.6,122.6,76.8,5.5,100,56.1,105.5,74.1,75.5,10.5,15.5,5,21.6,7,28.7,76.6,23.3,33.5,10.2,46.8,14.3,61,74.6,43.3,65.6,22.3,91.5,31.1,122.6,73.2,30,66,24.1,47.3,17.3,90.1,11,4.3,18.3,5,73.7,23.3,50.7,18.1,36.3,13,2.8,0,100,5.5,4.2,100,55.4,76.8,56.1,23,18,20,14,7,17,29,5,2,-3,43
"4","NSH",20152016,"2016-03-26",4,1,3,69.9,118.8,77.3,9.2,94.2,35.3,103.5,77.1,65.5,7.9,16.8,8.8,19.1,10,29.1,70.8,25.4,43.1,17.7,49.1,20.2,69.3,69.9,41.5,72.9,31.4,83,35.7,118.8,69.3,31.3,64,28.3,56.1,24.8,92.2,12.7,7.4,16.7,6.5,71.4,26,49.5,19.8,43.4,17.4,4.6,1.1,80,9.2,7.1,94.2,59.6,77.3,35.3,18,33,27,16,8,14,25,1,3,2,52.6
"5","NSH",20152016,"2015-11-20",0,3,-3,70.4,121,63.9,0,75.7,60.5,75.7,67.9,72.6,8.1,13,4.9,16,6,22,74.4,25.5,38.9,13.4,47.7,16.4,64.2,70.4,40.1,69.3,29.2,85.2,35.8,121,71,28,58.3,23.8,47.4,19.4,82.1,17.1,7.1,21.9,9.8,71.1,18,37.3,15.2,30.3,12.3,0,3.7,0,0,0,75.7,43.8,63.9,60.5,26,17,19,15,9,25,22,1,3,2,48.8
"6","STL",20152016,"2016-03-19",1,0,1,69.7,133.1,82.3,2.4,100,54.5,102.4,52.5,76.1,11.9,17.3,5.5,22.7,7.1,29.8,69.6,19.6,34.7,15.2,45.4,19.8,65.3,69.7,40.1,70.9,30.8,92.8,40.3,133.1,72.3,31.9,67.5,25.8,51.6,19.7,93.3,9.1,5.9,19.3,11.1,75.4,28.7,55.6,18.1,42.5,13.9,1.3,0,100,2.4,1.9,100,59.9,82.3,54.5,30,25,21,15,19,10,27,3,4,1,45.9
"7","T.B",20152016,"2016-01-12",4,0,4,70.2,121.7,64.6,11.3,100,60.5,111.3,50,64.9,5.9,12.9,7,15.8,8.6,24.4,67.7,17.4,33.4,15.9,41,19.6,60.5,70.2,40,69.5,29.5,85.4,36.3,121.7,74.4,35.8,67.1,23.1,54.6,18.8,90.2,19.3,5.4,14.9,10.7,72.4,21.8,43.3,16.5,35.3,13.4,4.9,0,100,11.3,7.3,100,50.8,64.6,60.5,23,15,13,12,13,12,14,2,3,1,48.9
"8","DAL",20152016,"2016-02-04",2,3,-1,71.2,111.7,76.9,5.8,84.2,50,90,62.5,77.9,10.4,14.5,4.1,18.1,5.1,23.3,82.2,25.5,32.6,7,40.7,8.8,49.5,71.2,37.9,63.7,25.7,79.5,32.2,111.7,66.1,21.8,55.9,28.7,44.8,23,84.7,10.4,4.1,18.9,2.7,64.5,15.5,43,23.6,34.4,18.9,2.5,3.7,40,5.8,4.5,84.2,54.1,76.9,50,26,26,20,20,12,23,29,6,1,-5,48
"9","DET",20152016,"2016-02-12",1,2,-1,70.1,119.1,70.3,3.2,88,66.7,91.3,60,60.4,6.4,18.7,12.3,23.6,15.5,39.2,67,20.4,40.1,19.7,50.8,25,75.7,70.1,37.8,65.9,28.2,83.4,35.6,119.1,64.6,19.8,55.5,30.4,43.8,24.1,85.9,13,7.3,22.1,4.1,64.8,14.1,39,21.1,30.8,16.7,1.3,2.5,33.3,3.2,2.3,88,46.7,70.3,66.7,22,11,12,13,8,15,25,1,5,4,47.4
"10","S.J",20152016,"2015-12-28",3,1,2,73.1,106.3,68.1,10,93.3,56.1,103.3,65,77.8,13.4,18.7,5.3,25.2,7.2,32.4,67.5,16.8,32.5,15.7,43.8,21.2,65,73.1,36.4,57.6,21.2,77.7,28.6,106.3,70.9,26.1,59.7,24.5,44.2,18.1,84.2,14.1,3.1,13.4,3,66.7,15.1,40.6,20.3,30.1,15,4.1,1.4,75,10,6.8,93.3,52.3,68.1,56.1,23,18,13,21,7,15,18,5,2,-3,44.4
"11","WPG",20152016,"2015-12-31",2,1,1,71.4,115.9,64.5,6.6,93,59.6,99.6,67.7,66.1,4.5,9.1,4.7,13,6.7,19.6,72.8,17.8,28.4,10.6,40.3,15.1,55.4,71.4,35,58.2,23.3,82.8,33.1,115.9,73.5,30,66.6,24,46.9,16.9,90.6,16.6,2.6,11.4,6.4,67.9,15.9,43,20.3,30.3,14.3,2.8,1.4,66.7,6.6,4.3,93,51.9,64.5,59.6,28,19,21,16,10,28,21,4,4,0,42.2
