"","Team","Date","TOI","CF","CA","CF60","CA60","CF%","C+/-"
"1","ANA","2016-12-13",41.87,45.81,38.75,65.65,55.53,54.17,7.06
"2","ANA","2016-12-11",47.09,46.03,35.96,58.65,45.82,56.14,10.07
"3","ANA","2016-12-09",52.28,40.93,55.21,46.98,63.36,42.58,-14.27
"4","ANA","2016-12-07",46.88,48.25,45.4,61.76,58.1,51.53,2.86
"5","ANA","2016-12-04",45.77,36.48,35.85,47.82,46.99,50.44,0.63
"6","ANA","2016-12-03",55.15,55.04,50.87,59.88,55.34,51.97,4.17
"7","ANA","2016-12-01",51.34,48.64,36.17,56.84,42.28,57.35,12.46
"8","ANA","2016-11-29",46.68,49.4,60,63.5,77.12,45.16,-10.6
"9","ANA","2016-11-26",53.37,55.18,45.05,62.03,50.65,55.05,10.13
"10","ANA","2016-11-25",51.13,48.85,41.83,57.33,49.08,53.87,7.02
"11","ANA","2016-11-22",46.3,45.93,37.44,59.52,48.52,55.09,8.48
"12","ANA","2016-11-20",42.08,34.79,43.41,49.6,61.9,44.48,-8.63
"13","ANA","2016-11-17",47.9,37.06,54.88,46.43,68.74,40.31,-17.81
"14","ANA","2016-11-15",45.29,31.31,54.37,41.48,72.02,36.54,-23.06
"15","ANA","2016-11-12",40.8,34.14,35.95,50.21,52.87,48.71,-1.81
"16","ANA","2016-11-10",47.94,34.73,45.74,43.47,57.25,43.16,-11.01
"17","ANA","2016-11-09",45.35,37.28,31.14,49.33,41.2,54.49,6.14
"18","ANA","2016-11-06",48.22,28.8,42.22,35.83,52.53,40.55,-13.42
"19","ANA","2016-11-04",52.25,50.95,32.3,58.5,37.09,61.2,18.64
"20","ANA","2016-11-02",49.22,38.31,55.25,46.71,67.35,40.95,-16.93
"21","ANA","2016-11-01",50,32.32,41.67,38.78,50.01,43.68,-9.36
"22","ANA","2016-10-28",38.88,40.05,49.41,61.8,76.25,44.77,-9.36
"23","ANA","2016-10-26",45.65,36.8,43.4,48.37,57.05,45.89,-6.6
"24","ANA","2016-10-25",42.73,31.18,45.35,43.79,63.68,40.74,-14.17
"25","ANA","2016-10-23",50.35,68.08,29.66,81.13,35.34,69.66,38.43
"26","ANA","2016-10-20",39.22,38.25,24.39,58.52,37.31,61.07,13.87
"27","ANA","2016-10-18",37.39,24.41,24.55,39.17,39.39,49.86,-0.14
"28","ANA","2016-10-16",42.8,31.22,41.85,43.76,58.67,42.72,-10.64
"29","ANA","2016-10-15",50.88,53.55,47.16,63.14,55.62,53.17,6.38
"30","ANA","2016-10-13",36.59,35.32,41.32,57.92,67.76,46.09,-6
"31","ANA","2016-04-27",43.24,44.74,38.87,62.08,53.93,53.51,5.87
"32","ANA","2016-04-25",54.3,55.04,46.35,60.82,51.21,54.29,8.7
"33","ANA","2016-04-23",43.24,37.99,55.56,52.72,77.1,40.61,-17.57
"34","ANA","2016-04-21",38.02,28.79,37.66,45.43,59.44,43.32,-8.87
"35","ANA","2016-04-19",43.08,38.43,32.76,53.53,45.63,53.98,5.67
"36","ANA","2016-04-17",45.48,45.18,34.07,59.61,44.95,57.01,11.11
"37","ANA","2016-04-15",44.58,39.42,49.63,53.06,66.8,44.27,-10.21
"38","ANA","2016-04-10",46.03,35.62,34.11,46.43,44.47,51.08,1.5
"39","ANA","2016-04-09",38.93,45.57,33.57,70.24,51.73,57.58,12
"40","ANA","2016-04-07",44.37,24.52,48.18,33.15,65.16,33.72,-23.67
"41","ANA","2016-04-05",44.38,41.1,32.03,55.57,43.3,56.2,9.07
"42","ANA","2016-04-03",42.89,35.81,42.81,50.09,59.89,45.54,-7.01
"43","ANA","2016-04-01",50.43,44.78,48.64,53.28,57.87,47.93,-3.86
"44","ANA","2016-03-30",50.62,46.63,48.24,55.27,57.18,49.15,-1.61
"45","ANA","2016-03-28",45.01,37.48,41.11,49.97,54.79,47.7,-3.62
"46","ANA","2016-03-26",46.35,47.87,33.79,61.97,43.75,58.62,14.08
"47","ANA","2016-03-24",47.91,43.7,44.84,54.73,56.16,49.35,-1.14
"48","ANA","2016-03-22",52.32,56.32,41.42,64.58,47.5,57.62,14.9
"49","ANA","2016-03-20",50.38,37.24,37.72,44.35,44.93,49.68,-0.48
"50","ANA","2016-03-18",49.37,47.08,54.84,57.22,66.64,46.2,-7.75
"51","ANA","2016-03-16",52.02,49.39,34.02,56.96,39.24,59.21,15.37
"52","ANA","2016-03-14",49.55,46.11,36.83,55.83,44.59,55.6,9.28
"53","ANA","2016-03-11",45.05,37.93,29.82,50.52,39.72,55.98,8.11
"54","ANA","2016-03-09",47.64,58.29,37.02,73.41,46.62,61.16,21.27
"55","ANA","2016-03-07",46.97,50.06,36.2,63.95,46.24,58.04,13.86
"56","ANA","2016-03-05",46.75,35.19,45.37,45.16,58.23,43.68,-10.18
"57","ANA","2016-03-03",33.6,21.18,31.16,37.82,55.65,40.46,-9.98
"58","ANA","2016-03-02",45.56,38.12,52.09,50.2,68.59,42.26,-13.97
"59","ANA","2016-02-28",44.82,44.38,40.77,59.41,54.57,52.12,3.62
"60","ANA","2016-02-26",47.71,52.99,38.44,66.64,48.34,57.96,14.55
"61","ANA","2016-02-24",45.64,49.4,40.56,64.95,53.32,54.92,8.84
"62","ANA","2016-02-21",40.63,50.66,31.79,74.81,46.95,61.44,18.87
"63","ANA","2016-02-18",45.45,43.43,31.5,57.33,41.58,57.96,11.93
"64","ANA","2016-02-16",44.96,43.29,38.45,57.77,51.31,52.96,4.84
"65","ANA","2016-02-15",47.35,43.65,33.61,55.31,42.59,56.5,10.04
"66","ANA","2016-02-13",51.13,56.52,30.99,66.33,36.37,64.58,25.53
"67","ANA","2016-02-11",49.28,43.14,46.81,52.53,56.99,47.96,-3.66
"68","ANA","2016-02-09",38.24,36.52,35.41,57.3,55.56,50.77,1.11
"69","ANA","2016-02-08",52.73,52.55,58.1,59.79,66.12,47.49,-5.56
"70","ANA","2016-02-05",35.95,50.65,32.45,84.53,54.15,60.95,18.2
"71","ANA","2016-02-04",46.85,43.71,31.92,55.98,40.88,57.8,11.79
"72","ANA","2016-02-02",46.67,45.05,52.8,57.92,67.88,46.04,-7.75
"73","ANA","2016-01-26",39.44,47.04,37.9,71.56,57.66,55.38,9.14
"74","ANA","2016-01-23",40.82,41.51,26.19,61.01,38.5,61.31,15.32
"75","ANA","2016-01-20",50.19,42.11,50.03,50.34,59.81,45.7,-7.93
"76","ANA","2016-01-17",51.45,44.75,53.2,52.18,62.04,45.68,-8.45
"77","ANA","2016-01-15",45.25,48.71,39.24,64.58,52.03,55.38,9.47
"78","ANA","2016-01-13",50.82,54.5,34.88,64.34,41.18,60.97,19.62
"79","ANA","2016-01-10",47.47,49.35,52.55,62.38,66.42,48.43,-3.2
"80","ANA","2016-01-08",43.47,47.85,35.67,66.05,49.24,57.29,12.18
"81","ANA","2016-01-06",44.1,45.74,66.58,62.23,90.59,40.72,-20.84
"82","ANA","2016-01-03",47.03,52.98,27.74,67.6,35.39,65.64,25.24
"83","ANA","2016-01-01",49.33,48.05,25.94,58.44,31.56,64.94,22.1
"84","ANA","2015-12-31",47.85,49.21,28.73,61.71,36.02,63.14,20.49
"85","ANA","2015-12-29",50.1,42.02,18.5,50.32,22.15,69.44,23.52
"86","ANA","2015-12-27",44.94,44.77,23.21,59.77,30.99,65.85,21.55
"87","ANA","2015-12-22",42.81,31.88,32.95,44.68,46.18,49.18,-1.07
"88","ANA","2015-12-21",50.13,48.85,47.61,58.47,56.99,50.64,1.24
"89","ANA","2015-12-19",54.46,40.44,27.76,44.55,30.58,59.3,12.68
"90","ANA","2015-12-17",44.78,45.47,35.46,60.93,47.52,56.18,10.01
"91","ANA","2015-12-11",52.01,60.69,43.07,70.01,49.69,58.49,17.62
"92","ANA","2015-12-06",51.78,51.17,49.19,59.29,57,50.98,1.98
"93","ANA","2015-12-04",41.93,43.18,37.3,61.78,53.38,53.65,5.88
"94","ANA","2015-12-02",43.38,43.48,40.17,60.14,55.56,51.98,3.31
"95","ANA","2015-11-30",47.05,50.96,40.26,64.98,51.35,55.86,10.69
"96","ANA","2015-11-27",43.04,48.6,40.71,67.75,56.75,54.42,7.89
"97","ANA","2015-11-25",50.48,39.2,51.41,46.59,61.1,43.26,-12.21
"98","ANA","2015-11-24",53.93,61.44,32.44,68.36,36.09,65.44,29
"99","ANA","2015-11-21",52.11,46.7,44.5,53.77,51.24,51.21,2.2
"100","ANA","2015-11-19",47.19,51.05,35.42,64.91,45.03,59.04,15.64
"101","ANA","2015-11-17",33.9,43.89,21,77.68,37.17,67.63,22.89
"102","ANA","2015-11-16",52.79,44.9,37.92,51.03,43.1,54.21,6.98
"103","ANA","2015-11-13",46.5,41.89,53.47,54.05,69,43.93,-11.58
"104","ANA","2015-11-11",52.56,52.79,46.06,60.26,52.58,53.41,6.73
"105","ANA","2015-11-09",43.82,41.63,38.9,57,53.27,51.69,2.72
"106","ANA","2015-11-07",48.48,45.4,34.31,56.19,42.46,56.95,11.09
"107","ANA","2015-11-06",46.84,45.84,33.89,58.72,43.42,57.49,11.95
"108","ANA","2015-11-04",43.25,47.82,38.09,66.33,52.84,55.66,9.73
"109","ANA","2015-11-01",41.24,36.99,54.43,53.82,79.19,40.46,-17.44
"110","ANA","2015-10-29",42.97,31.92,42.88,44.57,59.87,42.67,-10.96
"111","ANA","2015-10-27",46.08,38.18,41.07,49.71,53.47,48.18,-2.89
"112","ANA","2015-10-26",47.07,46.87,38.47,59.74,49.03,54.92,8.4
"113","ANA","2015-10-24",47.32,32.95,44.75,41.78,56.74,42.41,-11.79
"114","ANA","2015-10-22",41.51,37.61,34.84,54.36,50.36,51.91,2.77
"115","ANA","2015-10-18",52.36,43.61,59.76,49.97,68.49,42.18,-16.16
"116","ANA","2015-10-16",41.57,61.29,38.78,88.46,55.98,61.24,22.51
"117","ANA","2015-10-14",41.65,33.2,41.34,47.83,59.56,44.54,-8.14
"118","ANA","2015-10-12",54.02,53.6,37.85,59.53,42.04,58.61,15.75
"119","ANA","2015-10-10",54.39,55.01,67.51,60.68,74.47,44.9,-12.5
"120","ANA","2015-05-30",51.51,49.69,46.02,57.88,53.61,51.92,3.67
"121","ANA","2015-05-27",49.05,43.23,46.34,52.88,56.69,48.26,-3.11
"122","ANA","2015-05-25",51.27,48.78,51.37,57.09,60.12,48.71,-2.59
"123","ANA","2015-05-23",72.43,67.4,75.22,55.83,62.31,47.26,-7.82
"124","ANA","2015-05-21",45.06,43.52,47.82,57.95,63.67,47.65,-4.3
"125","ANA","2015-05-19",100.91,107.27,116.52,63.78,69.28,47.93,-9.24
"126","ANA","2015-05-17",50.23,49.34,56.88,58.94,67.94,46.45,-7.54
"127","ANA","2015-05-10",44.45,65.27,28.59,88.1,38.59,69.54,36.68
"128","ANA","2015-05-08",46.95,45.31,42.83,57.9,54.73,51.41,2.48
"129","ANA","2015-05-05",48.97,41.31,34.8,50.61,42.64,54.28,6.51
"130","ANA","2015-05-03",46.05,49.64,45.6,64.68,59.41,52.12,4.04
"131","ANA","2015-04-30",44.86,45.32,36.68,60.61,49.06,55.27,8.64
"132","ANA","2015-04-22",51.76,48.89,46.07,56.68,53.4,51.49,2.83
"133","ANA","2015-04-20",51.59,47.07,49.35,54.74,57.4,48.82,-2.28
"134","ANA","2015-04-18",44.73,45.97,45.03,61.67,60.4,50.52,0.95
"135","ANA","2015-04-16",49.15,52.77,33.96,64.42,41.45,60.85,18.81
"136","ANA","2015-04-11",47.13,55.67,36.76,70.87,46.79,60.23,18.91
"137","ANA","2015-04-08",52.34,32.19,63.19,36.9,72.44,33.75,-31
"138","ANA","2015-04-03",44.49,48.99,34.51,66.07,46.53,58.68,14.49
"139","ANA","2015-04-01",50.86,48.63,40.86,57.37,48.2,54.34,7.78
"140","ANA","2015-03-29",54.13,40.54,34.44,44.93,38.17,54.07,6.1
"141","ANA","2015-03-28",52.7,54.74,52.46,62.32,59.72,51.06,2.28
"142","ANA","2015-03-26",47.91,36.34,30.46,45.52,38.14,54.41,5.89
